model,macro_f1_real_fold
LightGBM_r131_BAG_L1,0.4819212088505127
CatBoost_r50_BAG_L1,0.4807806572512455
CatBoost_r128_BAG_L1,0.47916666666666663
LightGBM_r161_BAG_L1,0.4774283029842065
CatBoost_r143_BAG_L1,0.47022409904505974
CatBoost_r69_BAG_L1,0.47022409904505974
CatBoost_r49_BAG_L1,0.4685380116959064
CatBoost_r5_BAG_L1,0.46605644546147984
CatBoost_r60_BAG_L1,0.46189190469423524
CatBoost_r70_BAG_L1,0.46003421016134255
CatBoost_r6_BAG_L1,0.46003421016134255
