model,score_test,accuracy,balanced_accuracy,f1,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
NeuralNetTorch_r143_BAG_L1,0.659903381642512,0.725,0.6517094017094017,0.808695652173913,0.6835890288120394,f1_macro,0.05314326286315918,0.06795072555541992,26.933669805526733,0.05314326286315918,0.06795072555541992,26.933669805526733,1,True,60
NeuralNetTorch_r79_BAG_L1,0.6497884138333576,0.71875,0.6420940170940171,0.8051948051948052,0.6864680731054558,f1_macro,0.05582928657531738,0.05844831466674805,10.37801194190979,0.05582928657531738,0.05844831466674805,10.37801194190979,1,True,13
NeuralNetTorch_r22_BAG_L1,0.6444444444444445,0.7125,0.6374643874643875,0.8,0.6636098355132716,f1_macro,0.048017024993896484,0.05725812911987305,9.304275751113892,0.048017024993896484,0.05725812911987305,9.304275751113892,1,True,18
NeuralNetTorch_r41_BAG_L1,0.6392703422832547,0.725,0.6317663817663818,0.8151260504201681,0.6744721811471937,f1_macro,0.04072237014770508,0.05833029747009277,7.529498338699341,0.04072237014770508,0.05833029747009277,7.529498338699341,1,True,46
NeuralNetTorch_BAG_L1,0.6342234544481735,0.70625,0.6278490028490029,0.7965367965367965,0.6737411326437601,f1_macro,0.03923487663269043,0.05969405174255371,6.522887229919434,0.03923487663269043,0.05969405174255371,6.522887229919434,1,True,10
NeuralNetTorch_r87_BAG_L1,0.6333333333333333,0.725,0.6267806267806268,0.8166666666666667,0.6813895843765648,f1_macro,0.057375431060791016,0.055327653884887695,29.98724675178528,0.057375431060791016,0.055327653884887695,29.98724675178528,1,True,70
NeuralNetTorch_r158_BAG_L1,0.6236559139784946,0.7375,0.621082621082621,0.8306451612903226,0.6722770720181657,f1_macro,0.06519460678100586,0.061170101165771484,11.741985321044922,0.06519460678100586,0.061170101165771484,11.741985321044922,1,True,49
WeightedEnsemble_L2,0.6177113517360582,0.70625,0.6128917378917379,0.8016877637130801,0.6905975981700343,f1_macro,0.15350031852722168,0.12402796745300293,11.3683340549469,0.0008101463317871094,0.001897573471069336,0.32390713691711426,2,True,85
NeuralNetTorch_r197_BAG_L1,0.6166666666666667,0.7125,0.6125356125356125,0.8083333333333333,0.6765065177722659,f1_macro,0.03560924530029297,0.05623745918273926,5.195006370544434,0.03560924530029297,0.05623745918273926,5.195006370544434,1,True,52
NeuralNetTorch_r30_BAG_L1,0.6166666666666667,0.7125,0.6125356125356125,0.8083333333333333,0.6786667592803914,f1_macro,0.07647943496704102,0.06514978408813477,9.63705825805664,0.07647943496704102,0.06514978408813477,9.63705825805664,1,True,28
NeuralNetTorch_r86_BAG_L1,0.6132405900054265,0.69375,0.6086182336182336,0.7896995708154506,0.68641306175353,f1_macro,0.05170178413391113,0.05835723876953125,12.27812671661377,0.05170178413391113,0.05835723876953125,12.27812671661377,1,True,30
NeuralNetFastAI_r145_BAG_L1,0.6130952380952381,0.675,0.6096866096866097,0.7678571428571429,0.6557493413380687,f1_macro,0.048811912536621094,0.06733345985412598,5.459607362747192,0.048811912536621094,0.06733345985412598,5.459607362747192,1,True,26
NeuralNetTorch_r14_BAG_L1,0.6115501833772405,0.70625,0.6079059829059829,0.803347280334728,0.6713105858117707,f1_macro,0.04864645004272461,0.04964327812194824,5.79662561416626,0.04864645004272461,0.04964327812194824,5.79662561416626,1,True,37
NeuralNetFastAI_r111_BAG_L1,0.6106729316999496,0.6375,0.6217948717948718,0.7128712871287128,0.6053657275781856,f1_macro,0.04966163635253906,0.05729818344116211,3.399671792984009,0.04966163635253906,0.05729818344116211,3.399671792984009,1,True,62
NeuralNetFastAI_r160_BAG_L1,0.6084265079898268,0.68125,0.6043447293447294,0.777292576419214,0.6206598089150771,f1_macro,0.07086563110351562,0.07036614418029785,4.706930637359619,0.07086563110351562,0.07036614418029785,4.706930637359619,1,True,77
NeuralNetTorch_r31_BAG_L1,0.597454491638301,0.68125,0.5943732193732194,0.7811158798283262,0.6798767334360555,f1_macro,0.03791046142578125,0.06625723838806152,8.248969554901123,0.03791046142578125,0.06625723838806152,8.248969554901123,1,True,63
NeuralNetFastAI_r143_BAG_L1,0.5946675526392292,0.61875,0.6079059829059829,0.6934673366834171,0.5890009891196835,f1_macro,0.04640793800354004,0.05359816551208496,3.449781894683838,0.04640793800354004,0.05359816551208496,3.449781894683838,1,True,39
NeuralNetFastAI_BAG_L1,0.5927272727272728,0.65,0.5911680911680912,0.7454545454545455,0.6585944763467323,f1_macro,0.04482436180114746,0.056548118591308594,3.903764486312866,0.04482436180114746,0.056548118591308594,3.903764486312866,1,True,8
XGBoost_r33_BAG_L2,0.5881006864988558,0.6625,0.5854700854700855,0.7631578947368421,0.6800221944378291,f1_macro,0.7960269451141357,0.6970596313476562,57.58739495277405,0.06473970413208008,0.0475773811340332,9.639211654663086,2,True,104
NeuralNetTorch_r185_BAG_L1,0.5851761476284887,0.68125,0.5844017094017094,0.7848101265822784,0.6623158887968332,f1_macro,0.05172014236450195,0.05779147148132324,10.71937346458435,0.05172014236450195,0.05779147148132324,10.71937346458435,1,True,76
NeuralNetFastAI_r134_BAG_L1,0.5833333333333334,0.65,0.5811965811965812,0.75,0.6482373469526594,f1_macro,0.06335735321044922,0.08709383010864258,7.6036365032196045,0.06335735321044922,0.08709383010864258,7.6036365032196045,1,True,57
LightGBMLarge_BAG_L2,0.583155700819478,0.65625,0.5808404558404558,0.7577092511013216,0.6779244095988541,f1_macro,0.781721830368042,0.6851468086242676,52.86983036994934,0.05043458938598633,0.03566455841064453,4.921647071838379,2,True,96
ExtraTrees_r178_BAG_L1,0.5826086956521739,0.6625,0.5804843304843305,0.7652173913043478,0.6220262398606348,f1_macro,0.08413815498352051,0.06390380859375,0.8039102554321289,0.08413815498352051,0.06390380859375,0.8039102554321289,1,True,73
XGBoost_r194_BAG_L2,0.5816683932711756,0.66875,0.5801282051282052,0.7725321888412017,0.6891251916494834,f1_macro,0.7729933261871338,0.6843676567077637,50.84109401702881,0.041706085205078125,0.034885406494140625,2.8929107189178467,2,True,118
NeuralNetTorch_r22_BAG_L2,0.5781147000659196,0.7,0.5833333333333333,0.8048780487804879,0.6971720383485089,f1_macro,0.7943711280822754,0.7242660522460938,54.49867272377014,0.06308388710021973,0.0747838020324707,6.55048942565918,2,True,103
LightGBM_r196_BAG_L2,0.5777148615576563,0.65625,0.5758547008547008,0.759825327510917,0.6630614464558314,f1_macro,0.8494620323181152,0.7135188579559326,52.682352781295776,0.11817479133605957,0.06403660774230957,4.7341694831848145,2,True,127
LightGBM_r131_BAG_L2,0.5768025078369906,0.6625,0.5754985754985755,0.7672413793103449,0.6810859414038613,f1_macro,0.7609214782714844,0.6786293983459473,51.125457763671875,0.02963423728942871,0.02914714813232422,3.177274465560913,2,True,99
LightGBM_r161_BAG_L2,0.5768025078369906,0.6625,0.5754985754985755,0.7672413793103449,0.6820868397015571,f1_macro,0.8338882923126221,0.6981985569000244,53.634665727615356,0.1026010513305664,0.04871630668640137,5.6864824295043945,2,True,123
CatBoost_r177_BAG_L2,0.5754693366708385,0.66875,0.5751424501424501,0.774468085106383,0.6708314539135543,f1_macro,0.7418553829193115,0.6750643253326416,49.12577271461487,0.01056814193725586,0.025582075119018555,1.1775894165039062,2,True,97
NeuralNetTorch_r71_BAG_L1,0.5736831317893011,0.675,0.5747863247863247,0.7815126050420168,0.6804694991777096,f1_macro,0.04901623725891113,0.05377554893493652,4.7233946323394775,0.04901623725891113,0.05377554893493652,4.7233946323394775,1,True,71
NeuralNetFastAI_r191_BAG_L1,0.5728451563691839,0.65,0.5712250712250713,0.7543859649122807,0.6552518667772905,f1_macro,0.06366086006164551,0.11041450500488281,9.352070808410645,0.06366086006164551,0.11041450500488281,9.352070808410645,1,True,15
LightGBM_r188_BAG_L2,0.5728451563691839,0.65,0.5712250712250713,0.7543859649122807,0.6886081352974227,f1_macro,0.776975154876709,0.6774685382843018,51.29284882545471,0.04568791389465332,0.02798628807067871,3.34466552734375,2,True,110
ExtraTreesEntr_BAG_L1,0.5726495726495726,0.625,0.5726495726495726,0.7222222222222222,0.6239797691308955,f1_macro,0.09957218170166016,0.0719914436340332,0.6564695835113525,0.09957218170166016,0.0719914436340332,0.6564695835113525,1,True,7
NeuralNetFastAI_r95_BAG_L1,0.5719636169074371,0.65625,0.5708689458689459,0.7619047619047619,0.6624429143539661,f1_macro,0.054189205169677734,0.11262059211730957,5.672700643539429,0.054189205169677734,0.11262059211730957,5.672700643539429,1,True,45
XGBoost_BAG_L2,0.5719636169074371,0.65625,0.5708689458689459,0.7619047619047619,0.6999542092136869,f1_macro,0.7726230621337891,0.676091194152832,53.295907497406006,0.0413358211517334,0.026608943939208984,5.347724199295044,2,True,94
NeuralNetFastAI_r156_BAG_L1,0.5717209888206582,0.575,0.6203703703703703,0.6091954022988506,0.6123015941108843,f1_macro,0.0354764461517334,0.05376291275024414,3.6592962741851807,0.0354764461517334,0.05376291275024414,3.6592962741851807,1,True,41
